no,date,open,high,low,close,volume
313,2015-06-02,222.17,226.28,221.41,224.94,11218.756
314,2015-06-03,224.94,227,222.02,224.54,11517.098
315,2015-06-04,224.54,225.85,223.24,224,10541.187
316,2015-06-05,223.91,225.52,222.22,224.53,11620.224
317,2015-06-06,224.53,225.76,223,224.93,8022.862
318,2015-06-07,224.82,226.03,221.04,222.41,9156.016
319,2015-06-08,222.43,229.14,222.22,228,15365.586
320,2015-06-09,228,230.41,227.24,228.84,10260.181
321,2015-06-10,228.77,229.23,227.25,228.43,6819.3
322,2015-06-11,228.41,229.9,228,229.49,6725.542
323,2015-06-12,229.45,230.89,229.03,229.8,7991.369
324,2015-06-13,229.8,232.89,228.77,232.08,9617.124
325,2015-06-14,232.08,235.51,231.64,233.79,8953.824
326,2015-06-15,233.79,238.4,233.51,237.19,13423.397
327,2015-06-16,237.19,256.45,236.07,250.3,23416.878
328,2015-06-17,250.29,259.24,245.61,248.96,23414.603
329,2015-06-18,248.96,251.02,242.5,248.73,16241.7
330,2015-06-19,248.73,250.95,241.57,243.11,12626.066
331,2015-06-20,243.04,245.62,237.92,244.5,14000.4958
332,2015-06-21,244.37,244.65,240.24,243.24,4713.362
333,2015-06-22,243.24,248.54,242.99,247.14,9451.15
334,2015-06-23,247.14,247.24,242.01,243.66,8715.759
335,2015-06-24,243.66,243.85,238.61,239,10842.611
336,2015-06-25,239.02,242.7,238.29,241.71,9070.783
337,2015-06-26,241.71,242,239.03,241.39,7315.375
338,2015-06-27,241.39,251.36,240.62,250.5,13425.955
339,2015-06-28,250.5,251.21,246.14,248.37,8628.625
340,2015-06-29,248.24,257.32,247.85,257.23,15872.6404
341,2015-06-30,257.07,268.36,255.36,262.87,16276.6145
342,2015-07-01,262.87,264.68,254.42,258.18,12810.75
343,2015-07-02,258.18,261.69,252.8,254.37,9190
344,2015-07-03,254.34,256.8,250.92,256.13,8551.029
345,2015-07-04,256.2,261.55,252.65,260.7,8632.741
346,2015-07-05,260.7,277.06,256.85,272.47,20348.58150043
347,2015-07-06,272.35,278.78,267.85,270.44,9876.63635864
348,2015-07-07,270.44,272.81,263.61,265.71,5482.888
349,2015-07-08,265.71,274.84,264,270.49,5283.1664
350,2015-07-09,270.53,273,265.51,269.72,6067.0274
351,2015-07-10,269.72,304.73,268.51,284.1,20543.3229
352,2015-07-11,284.1,302.56,282.49,293.58,6222.384
353,2015-07-12,293.58,313.99,292.07,311.19,6385.452
354,2015-07-13,311.21,311.22,270.39,291.72,4698
355,2015-07-14,291.72,299,285.55,288.14,6836.186
356,2015-07-15,288.09,293.2,282.99,284.88,9738.636
357,2015-07-16,284.93,290.58,273,278.36,18072.5303
358,2015-07-17,278.77,280.79,269.68,279.83,10423.267
359,2015-07-18,279.83,283.43,275.16,276.27,9507.548
360,2015-07-19,276.27,278.56,272.22,273.38,6750.752
361,2015-07-20,273.23,280.1,271.98,279.65,8484.168
362,2015-07-21,279.65,281.46,273.81,275.02,8457.034
363,2015-07-22,274.88,277.04,271.98,276.51,7070.006
364,2015-07-23,276.51,277.42,273.96,274.76,8255.32
365,2015-07-24,275.07,289.12,273.95,287.91,12078.13
366,2015-07-25,287.91,291.86,284.13,288.99,7920.415
367,2015-07-26,288.99,293.13,286.54,291.81,4669.456
368,2015-07-27,291.61,296.24,285.18,293.63,10394.389
369,2015-07-28,293.63,297.68,293.19,294.33,7999.838
370,2015-07-29,294.34,294.65,287.07,288.51,9547.102
